iter	RMSE
0	128.634682
1	128.5671497
2	127.6509523
3	126.7415736
4	125.8565186
5	125.2881178
6	124.2169401
7	123.8517475
8	122.3839511
9	122.3070021
10	121.8052842
11	121.7459228
12	120.8853902
13	120.8141997
14	120.4022668
15	118.9468041
16	118.4838213
17	118.4637543
18	118.0477951
19	117.9134064
20	117.6866387
21	117.275714
22	117.2251994
23	117.0706804
24	117.0638978
25	116.8992157
26	116.8905848
27	116.2595321
28	116.0695499
29	116.0039809
30	115.9853304
31	115.3973502
32	114.5663274
33	114.5035105
34	114.3655775
35	114.2812585
36	114.2669929
37	114.2477346
38	113.7573319
39	113.7204201
40	113.4480643
41	113.4424477
42	113.4261584
43	113.3085294
44	113.1082745
45	112.8551848
46	112.8301473
47	112.8200872
48	112.8020061
49	111.7077292
50	111.6850656
51	111.5888915
52	111.2843611
53	111.2748154
54	111.1971184
55	110.2347531
56	110.1685682
57	110.1273396
58	109.4427086
59	109.3734104
60	109.312136
61	109.0531786
62	109.0427405
63	109.0044623
64	108.9800181
65	108.8730076
66	108.846062
67	108.8295683
68	108.8137451
69	108.6548369
70	108.5531713
71	108.5131638
72	108.3722243
73	107.9022702
74	107.8712791
75	107.8520743
76	107.8047729
77	107.5329604
78	107.5142121
79	107.5009827
80	107.4005451
81	106.880833
82	106.8729161
83	106.8601833
84	106.7820122
85	106.4250734
86	106.3841744
87	106.3684609
88	106.3481071
89	106.0936805
90	106.0513978
91	106.0371953
92	106.0038389
93	105.7731124
94	105.6679938
95	105.6211896
96	105.5930053
97	105.5776908
98	105.5679052
99	105.3119154
100	105.2889439
101	105.2862883
102	105.1972578
103	105.1709999
104	105.1576797
105	105.1370342
106	104.4507026
107	104.4384787
108	104.4110538
109	104.353773
110	104.3324567
111	104.3101932
112	104.2829046
113	104.2377766
114	104.225623
115	104.2158545
116	104.1695711
117	104.1635629
118	103.5038184
119	103.4875655
120	102.9344661
121	102.9146661
122	102.9037214
123	102.8969442
124	102.652103
125	102.6222246
126	102.5950641
127	102.5804554
128	102.5739779
129	102.5141169
130	102.4385076
131	102.3657811
132	102.3420477
133	102.3298672
134	102.3046472
135	102.2451621
136	102.2443717
137	102.1837974
138	102.1542035
139	102.1396149
140	102.1290134
141	102.0914082
142	102.0708488
143	102.0098363
144	101.8124667
145	101.8037862
146	101.7871918
147	101.7537215
148	101.7272875
149	101.7126296
150	100.9545772
151	100.9418525
152	100.8933506
153	100.8660452
154	100.8460273
155	100.6144808
156	100.5763671
157	100.2071865
158	100.1819662
159	100.1616033
160	99.99952114
161	99.85377079
162	99.38312512
163	99.36848297
164	99.30816082
165	99.27042305
166	99.24810238
167	99.01352232
168	98.69577994
169	98.5834078
170	98.54956981
171	98.52059172
172	98.46795141
173	98.31590516
